"Name of Covered Entity","State","Covered Entity Type","Individuals Affected","Breach Submission Date","Type of Breach","Location of Breached Information","Business Associate Present","Web Description"
"Accents on Health","CO","Healthcare Provider","2000","09/16/2020","Hacking/IT Incident","Desktop Computer, Network Server","No",""
"June E. Nylen Cancer Center","IA","Healthcare Provider","500","09/14/2020","Hacking/IT Incident","Network Server","No",""
"Our Lady of the Lake","LA","Healthcare Provider","31166","09/14/2020","Hacking/IT Incident","Other","Yes",""
"Connecticut Children's Medical Center","CT","Healthcare Provider","2633","09/14/2020","Hacking/IT Incident","Network Server","Yes",""
"Texas Children's Hospital","TX","Healthcare Provider","1987","09/14/2020","Hacking/IT Incident","Network Server","Yes",""
"Roswell Park Comprehensive Cancer Center","NY","Healthcare Provider","141669","09/14/2020","Hacking/IT Incident","Network Server","Yes",""
"UMass Memorial Medical Center","MA","Healthcare Provider","87420","09/14/2020","Hacking/IT Incident","Network Server","Yes",""
"Lehigh Valley Health Network","PA","Healthcare Provider","81487","09/14/2020","Hacking/IT Incident","Network Server","Yes",""
"Veterans Health Administration","DC","Healthcare Provider","44308","09/14/2020","Hacking/IT Incident","Network Server","No",""
"Mount Sinai Health System","NY","Healthcare Provider","87535","09/13/2020","Hacking/IT Incident","Network Server","Yes",""
"Community Medical Centers","CA","Healthcare Provider","43667","09/11/2020","Hacking/IT Incident","Network Server","Yes",""
"Riverside Health System","VA","Healthcare Provider","54151","09/11/2020","Hacking/IT Incident","Network Server","Yes",""
"Adventist HealthCare","MD","Healthcare Provider","13041","09/11/2020","Hacking/IT Incident","Network Server","Yes",""
"Specialized Alternatives for Families & Youth of America, Inc.","OH","Business Associate","58123","09/11/2020","Hacking/IT Incident","Email","Yes",""
"Children's Minnesota","MN","Healthcare Provider","160268","09/11/2020","Hacking/IT Incident","Network Server","Yes",""
"Total Urology Care of New York PLLC","NY","Healthcare Provider","23000","09/10/2020","Unauthorized Access/Disclosure","Electronic Medical Record","No",""
"Inova Health System","VA","Healthcare Provider","1045270","09/09/2020","Hacking/IT Incident","Network Server","No",""
"Baylor College of Medicine","TX","Healthcare Provider","4500","09/09/2020","Hacking/IT Incident","Network Server","Yes",""
"University of Kentucky HealthCare","KY","Healthcare Provider","163774","09/08/2020","Hacking/IT Incident","Network Server","Yes",""
" Virginia Mason Medical Center","WA","Healthcare Provider","244761","09/08/2020","Hacking/IT Incident","Network Server","Yes",""
"The Guthrie Clinic","PA","Healthcare Provider","92064","09/08/2020","Hacking/IT Incident","Network Server","Yes",""
"Lycoming-Clinton Joinder Board Programs","PA","Business Associate","3905","09/08/2020","Hacking/IT Incident","Email","Yes",""
"Starling Physicians, PC","CT","Healthcare Provider","7777","09/04/2020","Hacking/IT Incident","Email","No",""
"Regions Hospital","MN","Healthcare Provider","52795","09/04/2020","Hacking/IT Incident","Network Server","Yes",""
"Advocate Aurora Health","WI","Healthcare Provider","2979","09/04/2020","Unauthorized Access/Disclosure","Paper/Films","No",""
"Erlanger Health System","TN","Healthcare Provider","4938","09/04/2020","Loss","Other Portable Electronic Device","Yes",""
"H. Lee Moffitt Cancer Center & Research Institute ","FL","Healthcare Provider","4056","09/02/2020","Theft","Other Portable Electronic Device, Paper/Films","No",""
"The  Baton Rouge Clinic, A Medical Corporation","LA","Healthcare Provider","308000","09/02/2020","Hacking/IT Incident","Desktop Computer, Email, Network Server","No",""
"Atrium Health","NC","Healthcare Provider","165000","09/01/2020","Hacking/IT Incident","Network Server","Yes",""
"Spectrum Health","MI","Healthcare Provider","52711","09/01/2020","Hacking/IT Incident","Network Server","Yes",""
"Quality of Life Medical and Research Center","AZ","Healthcare Provider","6000","08/31/2020","Hacking/IT Incident","Network Server","No",""
